iter	Passed	Remaining
977	11686	18187
978	11700	18178
979	11726	18187
980	11743	18184
981	11757	18175
982	11773	18169
983	11788	18162
984	11804	18156
985	11820	18150
986	11832	18138
987	11850	18135
988	11860	18121
989	11871	18107
990	11882	18094
991	11893	18079
992	11904	18066
993	11914	18051
994	11924	18036
995	11933	18020
996	11944	18006
997	11954	17991
998	11964	17977
999	11974	17961
1000	11985	17948
1001	11995	17933
1002	12005	17918
1003	12015	17903
1004	12025	17888
1005	12036	17874
1006	12046	17860
1007	12058	17847
1008	12069	17835
1009	12081	17823
1010	12092	17809
1011	12103	17796
1012	12114	17783
1013	12126	17771
1014	12137	17757
1015	12147	17743
1016	12160	17732
1017	12170	17717
1018	12181	17703
1019	12191	17689
1020	12201	17675
1021	12214	17664
1022	12225	17651
1023	12236	17638
1024	12248	17625
1025	12259	17611
1026	12269	17598
1027	12280	17584
1028	12291	17571
1029	12303	17559
1030	12314	17546
1031	12324	17532
1032	12335	17517
1033	12346	17504
1034	12357	17492
1035	12369	17479
1036	12380	17466
1037	12391	17452
1038	12402	17439
1039	12417	17432
1040	12428	17419
1041	12440	17406
1042	12451	17394
1043	12464	17382
1044	12475	17370
1045	12486	17357
1046	12496	17342
1047	12509	17331
1048	12519	17317
1049	12530	17304
1050	12543	17292
1051	12553	17279
1052	12563	17264
1053	12574	17250
1054	12585	17237
1055	12595	17223
1056	12606	17210
1057	12616	17195
1058	12626	17181
1059	12636	17166
1060	12646	17151
1061	12657	17138
1062	12666	17123
1063	12676	17108
1064	12686	17093
1065	12696	17079
1066	12706	17064
1067	12716	17050
1068	12725	17034
1069	12736	17021
1070	12747	17008
1071	12757	16993
1072	12767	16979
1073	12777	16965
1074	12787	16951
1075	12798	16937
1076	12808	16923
1077	12818	16909
1078	12830	16897
1079	12842	16884
1080	12853	16871
1081	12864	16859
1082	12874	16845
1083	12885	16832
1084	12896	16819
1085	12912	16812
1086	12925	16802
1087	12937	16789
1088	12947	16776
1089	12959	16764
1090	12969	16749
1091	12979	16735
1092	12989	16721
1093	12998	16705
1094	13009	16692
1095	13020	16679
1096	13030	16665
1097	13042	16653
1098	13055	16642
1099	13064	16627
1100	13074	16612
1101	13083	16597
1102	13092	16582
1103	13102	16568
1104	13112	16554
1105	13122	16539
1106	13132	16525
1107	13142	16510
1108	13152	16497
1109	13163	16483
1110	13172	16468
1111	13182	16454
1112	13191	16439
1113	13200	16424
1114	13210	16409
1115	13220	16395
1116	13230	16381
1117	13239	16365
1118	13248	16350
1119	13258	16336
1120	13268	16321
1121	13278	16308
1122	13290	16296
1123	13300	16282
1124	13310	16268
1125	13322	16256
1126	13332	16243
1127	13344	16231
1128	13354	16217
1129	13365	16204
1130	13375	16190
1131	13386	16177
1132	13397	16163
1133	13409	16152
1134	13420	16140
1135	13431	16126
1136	13441	16112
1137	13452	16100
1138	13463	16087
1139	13472	16073
1140	13483	16059
1141	13493	16045
1142	13505	16034
1143	13517	16022
1144	13541	16024
1145	13555	16015
1146	13570	16007
1147	13586	16000
1148	13599	15990
1149	13612	15979
1150	13625	15969
1151	13636	15956
1152	13648	15945
1153	13667	15941
1154	13679	15929
1155	13688	15914
1156	13697	15899
1157	13706	15884
1158	13717	15871
1159	13728	15858
1160	13738	15845
1161	13748	15830
1162	13757	15815
1163	13767	15801
1164	13776	15786
1165	13785	15771
1166	13796	15758
1167	13806	15744
1168	13815	15730
1169	13824	15715
1170	13834	15700
1171	13842	15685
1172	13852	15670
1173	13861	15655
1174	13870	15640
1175	13879	15626
1176	13889	15612
1177	13899	15598
1178	13912	15587
1179	13921	15573
1180	13930	15558
1181	13939	15543
1182	13948	15528
1183	13958	15515
1184	13969	15501
1185	13978	15487
